Time,TR,RM
0,1,0.282723
1,0.908355,0.318711
2,0.836355,0.362407
3,0.778359,0.41044
4,0.730703,0.462042
5,0.69089,0.517017
6,0.657167,0.575342
7,0.628268,0.637063
8,0.603258,0.702258
9,0.58143,0.771022
10,0.562239,0.843462
11,0.545257,0.919687
12,0.530146,0.999807
13,0.516629,1.08393
14,0.504485,1.17218
15,0.493526,1.26463
16,0.483601,1.3614
17,0.47458,1.46258
18,0.466354,1.56823
19,0.45883,1.67844
20,0.451928,1.79326
21,0.445581,1.91272
22,0.439729,2.03687
23,0.434321,2.1657
24,0.42931,2.29922
25,0.424659,2.43739
26,0.420331,2.58017
27,0.416296,2.72749
28,0.412527,2.87926
29,0.408999,3.03537
30,0.405691,3.19567
31,0.402582,3.36001
32,0.399657,3.5282
33,0.396898,3.70004
34,0.394291,3.87528
35,0.391825,4.05368
36,0.389486,4.23496
37,0.387265,4.41883
38,0.385152,4.60497
39,0.383137,4.79305
40,0.381214,4.98272
41,0.379374,5.17365
42,0.377611,5.36545
43,0.375919,5.55776
44,0.374291,5.7502
45,0.372723,5.9424
46,0.371209,6.13399
47,0.369746,6.3246
48,0.368328,6.51386
49,0.366952,6.70143
50,0.365614,6.88696
51,0.36431,7.07014
52,0.363038,7.25066
53,0.361795,7.42822
54,0.360576,7.60256
55,0.359381,7.77344
56,0.358206,7.94062
57,0.357049,8.10391
58,0.355908,8.26312
59,0.354781,8.4181
60,0.353665,8.56872
61,0.35256,8.71486
62,0.351463,8.85645
63,0.350372,8.99341
64,0.349287,9.1257
65,0.348206,9.25329
66,0.347127,9.37618
67,0.34605,9.49438
68,0.344973,9.6079
69,0.343896,9.7168
70,0.342817,9.82113
71,0.341736,9.92096
72,0.340651,10.0164
73,0.339563,10.1074
74,0.33847,10.1942
75,0.337373,10.2769
76,0.336269,10.3555
77,0.33516,10.4302
78,0.334045,10.5011
79,0.332923,10.5683
80,0.331794,10.6319
81,0.330659,10.6921
82,0.329516,10.7489
83,0.328366,10.8026
84,0.327208,10.8531
85,0.326043,10.9008
86,0.32487,10.9455
87,0.32369,10.9876
88,0.322502,11.027
89,0.321307,11.064
90,0.320105,11.0985
91,0.318895,11.1308
92,0.317679,11.1609
93,0.316455,11.189
94,0.315225,11.215
95,0.313988,11.2392
96,0.312745,11.2616
97,0.311496,11.2823
98,0.31024,11.3013
99,0.308979,11.3188
100,0.307712,11.3349
101,0.30644,11.3495
102,0.305163,11.3629
103,0.303881,11.375
104,0.302594,11.3859
105,0.301303,11.3957
106,0.300008,11.4044
107,0.298709,11.4121
108,0.297406,11.4188
109,0.2961,11.4247
110,0.29479,11.4297
111,0.293478,11.4338
112,0.292163,11.4373
113,0.290845,11.4399
114,0.289526,11.4419
115,0.288204,11.4433
116,0.28688,11.444
117,0.285555,11.4442
118,0.284228,11.4438
119,0.2829,11.4429
120,0.281571,11.4415
121,0.280242,11.4397
122,0.278912,11.4374
123,0.277581,11.4348
124,0.276251,11.4317
125,0.27492,11.4283
126,0.273589,11.4245
127,0.272259,11.4205
128,0.27093,11.4161
129,0.269601,11.4114
130,0.268272,11.4065
131,0.266945,11.4013
