Time,TR,RM
0,1,0.282723
1,0.977608,0.291019
2,0.957063,0.301426
3,0.937977,0.312592
4,0.920111,0.324183
5,0.9033,0.336084
6,0.887424,0.348249
7,0.872388,0.360655
8,0.858116,0.373293
9,0.844545,0.386161
10,0.83162,0.399257
11,0.819293,0.412583
12,0.807522,0.426143
13,0.796269,0.439938
14,0.785502,0.453972
15,0.775188,0.468247
16,0.765301,0.482766
17,0.755813,0.497534
18,0.746703,0.512552
19,0.737947,0.527824
20,0.729527,0.543352
21,0.721423,0.559141
22,0.713618,0.575192
23,0.706096,0.591509
24,0.698843,0.608094
25,0.691844,0.624951
26,0.685087,0.642083
27,0.678558,0.659492
28,0.672248,0.677182
29,0.666146,0.695154
30,0.66024,0.713413
31,0.654523,0.73196
32,0.648985,0.750799
33,0.643619,0.769933
34,0.638415,0.789363
35,0.633368,0.809094
36,0.62847,0.829126
37,0.623714,0.849464
38,0.619094,0.87011
39,0.614605,0.891066
40,0.610241,0.912335
41,0.605997,0.933918
42,0.601868,0.95582
43,0.597849,0.978042
44,0.593935,1.00059
45,0.590123,1.02345
46,0.586408,1.04665
47,0.582787,1.07017
48,0.579256,1.09403
49,0.575811,1.11822
50,0.572449,1.14274
51,0.569168,1.1676
52,0.565963,1.1928
53,0.562832,1.21834
54,0.559773,1.24422
55,0.556782,1.27045
56,0.553858,1.29702
57,0.550997,1.32394
58,0.548198,1.35121
59,0.545458,1.37882
60,0.542776,1.40679
61,0.540149,1.43511
62,0.537575,1.46378
63,0.535052,1.4928
64,0.532579,1.52218
65,0.530154,1.55191
66,0.527776,1.582
67,0.525442,1.61244
68,0.523151,1.64324
69,0.520903,1.6744
70,0.518694,1.70592
71,0.516525,1.73779
72,0.514393,1.77001
73,0.512298,1.8026
74,0.510238,1.83553
75,0.508213,1.86883
76,0.50622,1.90248
77,0.504259,1.93648
78,0.50233,1.97084
79,0.50043,2.00555
80,0.498559,2.04061
81,0.496717,2.07602
82,0.494901,2.11178
83,0.493112,2.14788
84,0.491349,2.18433
85,0.48961,2.22113
86,0.487895,2.25826
87,0.486203,2.29574
88,0.484533,2.33355
89,0.482886,2.3717
90,0.481259,2.41018
91,0.479653,2.44899
92,0.478067,2.48813
93,0.476499,2.52759
94,0.474951,2.56737
95,0.47342,2.60747
96,0.471907,2.64789
97,0.470411,2.68862
98,0.468931,2.72965
99,0.467467,2.77099
100,0.466019,2.81263
101,0.464585,2.85456
102,0.463166,2.89679
103,0.461762,2.9393
104,0.46037,2.9821
105,0.458992,3.02517
106,0.457627,3.06852
107,0.456275,3.11214
108,0.454934,3.15602
109,0.453606,3.20016
110,0.452288,3.24456
111,0.450982,3.2892
112,0.449686,3.33409
113,0.448401,3.37922
114,0.447126,3.42458
115,0.445861,3.47016
116,0.444605,3.51597
117,0.443359,3.56199
118,0.442121,3.60821
119,0.440892,3.65465
120,0.439672,3.70127
121,0.43846,3.74809
122,0.437256,3.79509
123,0.436059,3.84227
124,0.434871,3.88962
125,0.433689,3.93714
126,0.432515,3.98481
127,0.431347,4.03263
128,0.430186,4.08059
129,0.429032,4.1287
130,0.427884,4.17693
131,0.426742,4.22529
132,0.425606,4.27376
133,0.424476,4.32234
134,0.423352,4.37102
135,0.422233,4.4198
136,0.421119,4.46867
137,0.420011,4.51761
138,0.418907,4.56663
139,0.417809,4.61572
140,0.416715,4.66486
141,0.415626,4.71406
142,0.414542,4.7633
143,0.413462,4.81258
144,0.412386,4.86188
145,0.411314,4.91121
146,0.410246,4.96056
147,0.409183,5.00991
148,0.408123,5.05926
149,0.407067,5.10861
150,0.406014,5.15795
151,0.404966,5.20726
152,0.40392,5.25655
153,0.402878,5.3058
154,0.401839,5.35501
155,0.400804,5.40417
156,0.399771,5.45327
157,0.398742,5.50232
158,0.397715,5.55129
159,0.396692,5.60019
160,0.395671,5.64901
161,0.394653,5.69774
162,0.393638,5.74637
163,0.392625,5.7949
164,0.391615,5.84332
165,0.390607,5.89163
166,0.389602,5.93981
167,0.388599,5.98787
168,0.387598,6.0358
169,0.3866,6.08358
170,0.385604,6.13123
171,0.38461,6.17872
172,0.383618,6.22605
173,0.382629,6.27322
174,0.381641,6.32023
175,0.380655,6.36706
176,0.379671,6.41372
177,0.378689,6.46019
178,0.377709,6.50647
179,0.376731,6.55256
180,0.375754,6.59845
181,0.374779,6.64414
182,0.373806,6.68962
183,0.372835,6.73489
184,0.371865,6.77994
185,0.370896,6.82477
186,0.36993,6.86938
187,0.368964,6.91375
188,0.368001,6.9579
189,0.367038,7.0018
190,0.366077,7.04547
191,0.365118,7.08889
192,0.36416,7.13206
193,0.363203,7.17498
194,0.362247,7.21765
195,0.361293,7.26006
196,0.36034,7.30221
197,0.359388,7.34409
198,0.358438,7.38571
199,0.357489,7.42706
200,0.356541,7.46813
201,0.355594,7.50893
202,0.354648,7.54946
203,0.353703,7.5897
204,0.352759,7.62966
205,0.351817,7.66934
206,0.350875,7.70874
207,0.349935,7.74784
208,0.348995,7.78666
209,0.348057,7.82518
210,0.347119,7.86342
211,0.346183,7.90136
212,0.345247,7.939
213,0.344313,7.97635
214,0.343379,8.0134
215,0.342446,8.05015
216,0.341514,8.0866
217,0.340583,8.12275
218,0.339653,8.1586
219,0.338724,8.19414
220,0.337796,8.22939
221,0.336868,8.26433
222,0.335941,8.29897
223,0.335016,8.3333
224,0.33409,8.36733
225,0.333166,8.40105
226,0.332243,8.43447
227,0.33132,8.46758
228,0.330398,8.50039
229,0.329477,8.5329
230,0.328556,8.5651
231,0.327637,8.59699
232,0.326718,8.62858
233,0.3258,8.65987
234,0.324882,8.69086
235,0.323965,8.72154
236,0.323049,8.75192
237,0.322134,8.782
238,0.32122,8.81178
239,0.320306,8.84126
240,0.319393,8.87044
241,0.31848,8.89933
242,0.317568,8.92791
243,0.316657,8.9562
244,0.315747,8.9842
245,0.314837,9.0119
246,0.313928,9.0393
247,0.31302,9.06642
248,0.312112,9.09325
249,0.311205,9.11978
250,0.310299,9.14603
251,0.309393,9.17199
252,0.308488,9.19767
253,0.307584,9.22306
254,0.306681,9.24817
255,0.305778,9.273
256,0.304876,9.29755
257,0.303974,9.32183
258,0.303073,9.34582
259,0.302173,9.36954
260,0.301274,9.39299
261,0.300375,9.41617
262,0.299477,9.43908
263,0.298579,9.46172
264,0.297682,9.4841
265,0.296786,9.50621
266,0.295891,9.52806
267,0.294996,9.54964
268,0.294103,9.57097
269,0.293209,9.59204
270,0.292317,9.61286
271,0.291425,9.63342
272,0.290534,9.65374
273,0.289644,9.6738
274,0.288754,9.69361
275,0.287865,9.71318
276,0.286977,9.73251
277,0.28609,9.75159
278,0.285203,9.77044
279,0.284317,9.78904
280,0.283432,9.80742
281,0.282548,9.82555
282,0.281664,9.84346
283,0.280781,9.86113
284,0.279899,9.87858
285,0.279018,9.8958
286,0.278138,9.9128
287,0.277258,9.92958
288,0.276379,9.94613
289,0.275501,9.96247
290,0.274624,9.97859
291,0.273748,9.9945
292,0.272872,10.0102
293,0.271998,10.0257
294,0.271124,10.041
295,0.270251,10.056
296,0.269379,10.0709
297,0.268508,10.0856
298,0.267637,10.1
299,0.266768,10.1143
300,0.2659,10.1284
301,0.265032,10.1423
302,0.264166,10.156
303,0.2633,10.1695
304,0.262435,10.1828
305,0.261571,10.1959
306,0.260709,10.2088
307,0.259847,10.2216
308,0.258986,10.2342
309,0.258126,10.2466
310,0.257267,10.2588
311,0.256409,10.2708
312,0.255552,10.2827
313,0.254697,10.2944
314,0.253842,10.3059
315,0.252988,10.3173
316,0.252135,10.3285
317,0.251284,10.3396
318,0.250433,10.3504
319,0.249584,10.3612
320,0.248735,10.3717
321,0.247888,10.3821
322,0.247042,10.3924
323,0.246197,10.4025
324,0.245353,10.4124
325,0.24451,10.4222
326,0.243669,10.4318
327,0.242828,10.4414
328,0.241989,10.4507
329,0.241151,10.4599
330,0.240314,10.469
331,0.239479,10.4779
332,0.238644,10.4867
333,0.237811,10.4954
334,0.236979,10.5039
335,0.236148,10.5123
336,0.235319,10.5206
337,0.23449,10.5287
338,0.233663,10.5367
339,0.232838,10.5446
340,0.232013,10.5524
341,0.23119,10.56
342,0.230368,10.5675
343,0.229548,10.5749
344,0.228729,10.5822
345,0.227911,10.5894
346,0.227095,10.5964
347,0.22628,10.6033
348,0.225466,10.6101
349,0.224654,10.6168
350,0.223843,10.6234
351,0.223033,10.6299
352,0.222225,10.6363
353,0.221419,10.6426
354,0.220613,10.6487
355,0.21981,10.6548
356,0.219007,10.6608
357,0.218206,10.6666
358,0.217407,10.6724
359,0.216609,10.6781
360,0.215812,10.6836
361,0.215018,10.6891
362,0.214224,10.6945
363,0.213432,10.6998
364,0.212642,10.705
365,0.211853,10.7101
366,0.211066,10.7151
367,0.21028,10.72
368,0.209496,10.7248
369,0.208713,10.7296
370,0.207932,10.7343
371,0.207152,10.7389
372,0.206374,10.7434
373,0.205598,10.7478
374,0.204823,10.7521
375,0.20405,10.7564
376,0.203279,10.7606
377,0.202509,10.7647
378,0.201741,10.7687
379,0.200974,10.7727
380,0.200209,10.7766
381,0.199446,10.7804
382,0.198685,10.7841
383,0.197925,10.7878
384,0.197167,10.7914
385,0.19641,10.7949
386,0.195656,10.7984
387,0.194902,10.8018
388,0.194151,10.8051
