Time,TMin,TMax,VMin,VMax,NMin,NMax
0,0.000374311,0.196376,0.489286,0.5,5.34547e-22,0.0112136
1,0.00149589,0.109032,0.485155,0.499992,8.02083e-06,0.0157299
2,0.00344495,0.074534,0.482863,0.49996,4.00904e-05,0.0183004
3,0.00605319,0.0576568,0.481289,0.499886,0.000113981,0.0200941
4,0.00906348,0.0482601,0.480063,0.499756,0.000243877,0.0215049
5,0.0122445,0.0426696,0.47903,0.499561,0.000438459,0.0227022
6,0.0154343,0.0392926,0.478111,0.499298,0.00070144,0.0237727
7,0.0185405,0.0373352,0.47726,0.498967,0.00103305,0.0247674
8,0.0215231,0.0363554,0.476449,0.498568,0.00143151,0.0257191
9,0.0243759,0.0360859,0.475657,0.498105,0.00189418,0.0266505
10,0.0271125,0.0363541,0.47487,0.497581,0.00241825,0.0275783
11,0.0297559,0.0370434,0.474077,0.496997,0.00300121,0.0285148
12,0.0323324,0.0380725,0.47327,0.496357,0.00364099,0.0294699
13,0.0348683,0.0393829,0.472441,0.495662,0.00433609,0.0304516
14,0.0373879,0.0409322,0.471585,0.494912,0.00508556,0.0314664
15,0.039913,0.0426893,0.470698,0.494108,0.00588893,0.0325198
16,0.0424621,0.0446306,0.469774,0.49325,0.00674618,0.0336166
17,0.0450514,0.0467389,0.468812,0.492338,0.00765768,0.0347611
18,0.0476941,0.0490008,0.467807,0.491372,0.00862409,0.035957
19,0.0504013,0.0514064,0.466756,0.490349,0.00964637,0.0372078
20,0.053182,0.0539479,0.465658,0.48927,0.0107256,0.0385168
21,0.0560436,0.0566195,0.464508,0.488132,0.0118632,0.039887
22,0.0589919,0.0594165,0.463306,0.486935,0.0130605,0.0413211
23,0.0620315,0.0623351,0.462049,0.485677,0.0143191,0.0428219
24,0.0651658,0.0653721,0.460735,0.484356,0.0156405,0.0443919
25,0.0683971,0.0685317,0.459361,0.482971,0.0170263,0.0460336
26,0.0717272,0.0718121,0.457927,0.48152,0.0184781,0.0477494
27,0.0751566,0.0752087,0.45643,0.480002,0.0199976,0.0495415
28,0.0786498,0.0787176,0.454868,0.478414,0.0215864,0.051412
29,0.0822391,0.0823305,0.453241,0.476757,0.0232458,0.053363
30,0.0859307,0.0860437,0.451546,0.475028,0.0249775,0.0553963
31,0.0897219,0.0898601,0.449782,0.473226,0.0267827,0.0575138
32,0.0936091,0.093775,0.447948,0.471349,0.0286628,0.0597172
33,0.0975889,0.0977807,0.446043,0.469397,0.030619,0.062008
34,0.101657,0.101874,0.444066,0.467369,0.0326522,0.0643876
35,0.10581,0.106051,0.442016,0.465263,0.0347635,0.0668572
36,0.110043,0.110308,0.439892,0.463079,0.0369536,0.069418
37,0.114351,0.11464,0.437694,0.460817,0.0392233,0.0720709
38,0.118729,0.119042,0.435421,0.458476,0.0415729,0.0748166
39,0.123172,0.12351,0.433074,0.456056,0.0440029,0.0776558
40,0.127675,0.128038,0.430652,0.453556,0.0465134,0.0805888
41,0.13223,0.13262,0.428155,0.450978,0.0491044,0.0836159
42,0.136833,0.13725,0.425584,0.44832,0.0517757,0.0867371
43,0.141478,0.141922,0.422938,0.445584,0.0545271,0.0899522
44,0.146158,0.146631,0.420219,0.44277,0.0573579,0.093261
45,0.150866,0.151369,0.417428,0.43988,0.0602675,0.0966628
46,0.155597,0.156131,0.414565,0.436913,0.0632551,0.100157
47,0.160344,0.160909,0.411632,0.433872,0.0663195,0.103743
48,0.1651,0.165698,0.40863,0.430758,0.0694595,0.107418
49,0.16986,0.170492,0.40556,0.427571,0.0726739,0.111183
50,0.174616,0.175283,0.402424,0.424315,0.075961,0.115036
51,0.179363,0.180065,0.399223,0.420991,0.0793193,0.118975
52,0.184095,0.184834,0.395961,0.4176,0.0827467,0.122997
53,0.188805,0.189582,0.392638,0.414145,0.0862414,0.127102
54,0.193489,0.194303,0.389257,0.410628,0.0898013,0.131288
55,0.198139,0.198993,0.38582,0.407052,0.0934242,0.135551
56,0.202752,0.203646,0.382329,0.403419,0.0971077,0.13989
57,0.207322,0.208256,0.378788,0.399732,0.100849,0.144302
58,0.211844,0.212819,0.375198,0.395993,0.104647,0.148785
59,0.216313,0.217331,0.371563,0.392205,0.108498,0.153337
60,0.220725,0.221786,0.367884,0.388372,0.112399,0.157953
61,0.225077,0.226181,0.364165,0.384495,0.116347,0.162632
62,0.229364,0.230512,0.360409,0.380578,0.120341,0.167371
63,0.233583,0.234775,0.356618,0.376624,0.124377,0.172167
64,0.23773,0.238967,0.352795,0.372636,0.128453,0.177017
65,0.241803,0.243085,0.348943,0.368617,0.132565,0.181918
66,0.245799,0.247127,0.345065,0.364569,0.13671,0.186866
67,0.249716,0.251089,0.341164,0.360497,0.140887,0.19186
68,0.253552,0.254971,0.337242,0.356402,0.145091,0.196896
69,0.257304,0.258769,0.333303,0.352289,0.149321,0.201972
70,0.26097,0.262482,0.329349,0.348159,0.153572,0.207083
71,0.264551,0.266109,0.325384,0.344016,0.157844,0.212228
72,0.268044,0.269649,0.321408,0.339863,0.162132,0.217403
73,0.271449,0.2731,0.317427,0.335702,0.166435,0.222605
74,0.274764,0.276462,0.313441,0.331536,0.170749,0.227833
75,0.27799,0.279735,0.309454,0.327369,0.175072,0.233082
76,0.281126,0.282917,0.305468,0.323201,0.179401,0.238351
77,0.284171,0.286008,0.301485,0.319037,0.183735,0.243636
78,0.287126,0.28901,0.297508,0.314879,0.18807,0.248936
79,0.289992,0.291921,0.29354,0.310728,0.192405,0.254247
80,0.292767,0.294742,0.289581,0.306588,0.196736,0.259567
81,0.295454,0.297473,0.285635,0.30246,0.201063,0.264894
82,0.298052,0.300116,0.281703,0.298347,0.205382,0.270225
83,0.300561,0.30267,0.277788,0.294251,0.209692,0.275559
84,0.302984,0.305137,0.273891,0.290173,0.213991,0.280893
85,0.30532,0.307516,0.270014,0.286116,0.218277,0.286225
86,0.307571,0.30981,0.266159,0.282081,0.222548,0.291553
87,0.309738,0.312019,0.262327,0.278071,0.226803,0.296875
88,0.311821,0.314144,0.25852,0.274086,0.23104,0.30219
89,0.313823,0.316187,0.254739,0.270128,0.235258,0.307495
90,0.315743,0.318148,0.250986,0.266199,0.239454,0.312789
