Time,TMin,TMax,VMin,VMax,NMin,NMax
0,0.00549055,0.264167,0.489286,0.5,2.16844e-08,0.011458
1,0.0159419,0.186063,0.483741,0.499882,0.000117711,0.0176563
2,0.0288908,0.1586,0.479867,0.499541,0.000459378,0.0221049
3,0.0423487,0.150508,0.476599,0.498921,0.00107834,0.025924
4,0.0552408,0.150996,0.473538,0.498013,0.00198495,0.0295317
5,0.0671514,0.153138,0.470541,0.49683,0.00316619,0.033078
6,0.078021,0.155319,0.467547,0.495393,0.00459994,0.0366328
7,0.0879461,0.157591,0.464525,0.493727,0.0062626,0.0402246
8,0.0970739,0.160013,0.461465,0.491853,0.00813259,0.0438681
9,0.105552,0.162679,0.45836,0.48979,0.0101914,0.0475708
10,0.113511,0.165777,0.455206,0.487553,0.0124235,0.0513372
11,0.121057,0.168929,0.452002,0.485155,0.0148164,0.0551701
12,0.128274,0.172157,0.448744,0.482607,0.0173595,0.0590713
13,0.135224,0.175474,0.445434,0.479919,0.020044,0.0630421
14,0.141957,0.178881,0.442071,0.477096,0.0228626,0.0670849
15,0.148508,0.182375,0.438653,0.474147,0.0258088,0.0711997
16,0.154902,0.185949,0.43518,0.471077,0.0288768,0.0753855
17,0.161158,0.189596,0.431654,0.467892,0.0320614,0.0796423
18,0.167288,0.193308,0.428076,0.464597,0.0353576,0.0839697
19,0.1733,0.197074,0.424447,0.461196,0.0387609,0.0883673
20,0.179201,0.200886,0.420768,0.457695,0.0422667,0.0928343
21,0.184834,0.204733,0.417039,0.454097,0.0458706,0.0973698
22,0.190387,0.208607,0.413263,0.450408,0.0495683,0.101972
23,0.195857,0.212498,0.409441,0.446633,0.0533554,0.106641
24,0.201238,0.216397,0.405575,0.442775,0.0572277,0.111374
25,0.206525,0.220297,0.401666,0.438839,0.0611809,0.116169
26,0.211713,0.224188,0.397715,0.43483,0.0652107,0.121025
27,0.216799,0.228064,0.393727,0.430752,0.0693129,0.12594
28,0.221778,0.231917,0.389703,0.42661,0.0734832,0.13091
29,0.226649,0.235741,0.385646,0.422408,0.0777174,0.135935
30,0.231411,0.239528,0.381558,0.418151,0.0820112,0.141012
31,0.23606,0.243274,0.377442,0.413843,0.0863606,0.146138
32,0.240595,0.246972,0.373299,0.409488,0.0907614,0.15131
33,0.245017,0.250618,0.369134,0.405091,0.0952094,0.156526
34,0.249323,0.254206,0.364948,0.400656,0.0997007,0.161783
35,0.253511,0.257732,0.360744,0.396187,0.104231,0.167079
36,0.257577,0.261193,0.356525,0.391689,0.108797,0.17241
37,0.26152,0.264584,0.352294,0.387164,0.113395,0.177774
38,0.265339,0.267904,0.348053,0.382618,0.11802,0.183168
39,0.269037,0.271148,0.343804,0.378054,0.12267,0.18859
40,0.272613,0.274314,0.339552,0.373476,0.12734,0.194036
41,0.276069,0.277711,0.335297,0.368887,0.132027,0.199503
42,0.279407,0.281093,0.331044,0.364292,0.136728,0.204989
43,0.282629,0.284416,0.326793,0.359692,0.14144,0.210492
44,0.285615,0.287627,0.322548,0.355093,0.146159,0.216008
45,0.288379,0.290728,0.318311,0.350496,0.150882,0.221536
46,0.291053,0.293719,0.314085,0.345905,0.155606,0.227071
47,0.293637,0.296603,0.309871,0.341323,0.160329,0.232613
48,0.296131,0.29938,0.305672,0.336753,0.165048,0.238158
49,0.298537,0.302052,0.30149,0.332198,0.16976,0.243704
50,0.300853,0.30462,0.297327,0.327659,0.174463,0.249249
51,0.303082,0.307086,0.293184,0.32314,0.179153,0.254791
52,0.305223,0.309452,0.289065,0.318642,0.18383,0.260328
53,0.307278,0.311719,0.284969,0.314169,0.188491,0.265858
54,0.309247,0.313889,0.2809,0.309721,0.193134,0.271379
55,0.311131,0.315963,0.276859,0.305302,0.197756,0.276888
56,0.312932,0.317944,0.272847,0.300913,0.202356,0.282385
57,0.314649,0.319833,0.268865,0.296556,0.206933,0.287866
58,0.316285,0.321632,0.264916,0.292232,0.211484,0.293332
59,0.317841,0.323343,0.260999,0.287942,0.216008,0.298779
60,0.319318,0.324967,0.257117,0.28369,0.220504,0.304207
61,0.320718,0.326507,0.253271,0.279474,0.22497,0.309614
62,0.322041,0.327964,0.24946,0.275298,0.229405,0.314998
63,0.323289,0.329341,0.245688,0.271162,0.233808,0.32036
64,0.324464,0.330638,0.241953,0.267067,0.238177,0.325696
65,0.325567,0.331858,0.238258,0.263014,0.242513,0.331007
66,0.326599,0.333003,0.234602,0.259005,0.246813,0.336291
67,0.327563,0.334074,0.230987,0.255038,0.251077,0.341548
68,0.328459,0.335073,0.227413,0.251117,0.255304,0.346776
69,0.329289,0.336002,0.22388,0.24724,0.259494,0.351974
70,0.330055,0.336862,0.220389,0.243409,0.263645,0.357142
71,0.330757,0.337656,0.216941,0.239624,0.267758,0.362279
72,0.331399,0.338385,0.213535,0.235886,0.271832,0.367385
73,0.33198,0.33905,0.210172,0.232195,0.275866,0.372458
74,0.332503,0.339654,0.206852,0.22855,0.27986,0.377499
75,0.332969,0.340198,0.203575,0.224954,0.283813,0.382507
76,0.33338,0.340683,0.200342,0.221405,0.287726,0.38748
77,0.333736,0.341111,0.197152,0.217903,0.291598,0.39242
78,0.33404,0.341483,0.194007,0.21445,0.295429,0.397326
79,0.334293,0.341802,0.190904,0.211044,0.299219,0.402196
80,0.334496,0.342068,0.187845,0.207686,0.302967,0.407032
81,0.33465,0.342283,0.18483,0.204376,0.306674,0.411833
82,0.334757,0.342448,0.181858,0.201114,0.31034,0.416598
83,0.334819,0.342565,0.178929,0.197899,0.313965,0.421328
84,0.334836,0.342635,0.176044,0.194732,0.317548,0.426022
85,0.334809,0.342659,0.173201,0.191611,0.32109,0.430681
86,0.33474,0.342639,0.170401,0.188538,0.324591,0.435304
87,0.334631,0.342576,0.167644,0.185511,0.32805,0.439891
88,0.334482,0.342472,0.164928,0.182531,0.33147,0.444442
89,0.334294,0.342326,0.162254,0.179597,0.334848,0.448958
90,0.334069,0.342141,0.159622,0.176708,0.338186,0.453437
91,0.333808,0.341918,0.157031,0.173865,0.341485,0.457881
92,0.333511,0.341657,0.154481,0.171067,0.344743,0.46229
93,0.33318,0.341361,0.151972,0.168314,0.347962,0.466663
94,0.332817,0.341029,0.149502,0.165604,0.351141,0.471
95,0.332421,0.340664,0.147072,0.162939,0.354281,0.475303
96,0.331994,0.340265,0.144682,0.160316,0.357383,0.47957
97,0.331537,0.339834,0.14233,0.157737,0.360447,0.483802
98,0.33105,0.339373,0.140017,0.1552,0.363472,0.488
99,0.330535,0.338881,0.137741,0.152705,0.36646,0.492164
100,0.329993,0.33836,0.135504,0.150251,0.369411,0.496293
101,0.329424,0.337811,0.133303,0.147838,0.372325,0.500387
102,0.32883,0.337235,0.131139,0.145466,0.375202,0.504449
103,0.32821,0.336631,0.129011,0.143133,0.378043,0.508476
104,0.327567,0.336003,0.126919,0.14084,0.380849,0.51247
105,0.3269,0.335349,0.124863,0.138586,0.383619,0.516432
106,0.32621,0.334671,0.122841,0.13637,0.386355,0.52036
107,0.325499,0.33397,0.120853,0.134191,0.389056,0.524256
108,0.324766,0.333246,0.118899,0.132051,0.391723,0.528119
109,0.324013,0.3325,0.116979,0.129946,0.394356,0.531951
110,0.32324,0.331733,0.115091,0.127879,0.396956,0.535751
